outletId,name,slug,aliases,countryId,cityId,address,latitude,longitude,openingHours,heroImage,galleryImages,storesCountText,rating,reviewCount,services,taxFreeAvailable,websiteUrl,centerMapUrl,googleMapsUrl,appleMapsUrl,yandexMapsUrl,status,cityCenterDistanceKm,cityCenterInfo,airports,distanceBasis,metadataVerifiedAt,airportDistanceKm,taxFreeOfficeInfo,outletName,restaurants,parking,nearby,officialWebsite,vatRate,minimumTaxFreeSpend,phone,email,estimatedRefundRate,taxFreeOperator,airportInfoText,cityCenterInfoText
woodbury-common-premium-outlets,Woodbury Common Premium Outlets,woodbury-common-premium-outlets,"[""Central Valley""]",united-states,new-york,"498 Red Apple Court, Central Valley, NY 10917, United States",41.3170679,-74.1267205,Daily 10:00–21:00. Holiday and individual store hours may vary.,,[],197 listed brands,0,0,"[""Customer Service"",""Dining"",""Parking""]",false,https://www.premiumoutlets.com/outlet/woodbury-common,https://www.premiumoutlets.com/outlet/woodbury-common/map,https://www.google.com/maps/search/?api=1&query=41.3170679%2C-74.1267205,"https://maps.apple.com/?ll=41.3170679,-74.1267205",https://yandex.com/maps/?ll=-74.1267205%2C41.3170679,active,63,"{""name"":""New York"",""distanceKm"":63}","[{""code"":""SWF"",""name"":""New York Stewart"",""distanceKm"":21},{""code"":""JFK"",""name"":""John F. Kennedy"",""distanceKm"":81},{""code"":""EWR"",""name"":""Newark Liberty"",""distanceKm"":70}]",straight-line,2026-09-12,21,,,,,,,,,,,,,,
sawgrass-mills,Sawgrass Mills,sawgrass-mills,"[""Sunrise""]",united-states,fort-lauderdale,"12801 W Sunrise Boulevard, Sunrise, FL 33323, United States",26.151697,-80.3209,Mon–Sat 10:00–21:00; Sun 11:00–20:00. Holiday and individual store hours may vary.,,[],221 listed brands,0,0,"[""Customer Service"",""Dining"",""Parking""]",false,https://www.simon.com/mall/sawgrass-mills,https://www.simon.com/mall/sawgrass-mills/map,https://www.google.com/maps/search/?api=1&query=26.151697%2C-80.3209,"https://maps.apple.com/?ll=26.151697,-80.3209",https://yandex.com/maps/?ll=-80.3209%2C26.151697,active,19,"{""name"":""Fort Lauderdale"",""distanceKm"":19}","[{""code"":""FLL"",""name"":""Fort Lauderdale–Hollywood"",""distanceKm"":19},{""code"":""MIA"",""name"":""Miami"",""distanceKm"":40}]",straight-line,2026-09-12,19,,,,,,,,,,,,,,
orlando-vineland-premium-outlets,Orlando Vineland Premium Outlets,orlando-vineland-premium-outlets,"[""Lake Buena Vista""]",united-states,orlando,"8200 Vineland Avenue, Orlando, FL 32821, United States",28.386771,-81.4926951,Mon–Sat 10:00–21:00; Sun 11:00–19:00. Holiday and individual store hours may vary.,,[],125 listed brands,0,0,"[""Customer Service"",""Dining"",""Parking""]",false,https://www.premiumoutlets.com/outlet/orlando-vineland,https://www.premiumoutlets.com/outlet/orlando-vineland/map,https://www.google.com/maps/search/?api=1&query=28.386771%2C-81.4926951,"https://maps.apple.com/?ll=28.386771,-81.4926951",https://yandex.com/maps/?ll=-81.4926951%2C28.386771,active,20,"{""name"":""Orlando"",""distanceKm"":20}","[{""code"":""MCO"",""name"":""Orlando"",""distanceKm"":19}]",straight-line,2026-09-12,19,,,,,,,,,,,,,,
las-vegas-north-premium-outlets,Las Vegas North Premium Outlets,las-vegas-north-premium-outlets,"[""Downtown Las Vegas""]",united-states,las-vegas,"875 S Grand Central Parkway, Las Vegas, NV 89106, United States",36.1636903,-115.1583205,Mon–Sat 10:00–20:00; Sun 10:00–19:00. Holiday and individual store hours may vary.,,[],148 listed brands,0,0,"[""Customer Service"",""Dining"",""Parking""]",false,https://www.premiumoutlets.com/outlet/las-vegas-north,https://www.premiumoutlets.com/outlet/las-vegas-north/map,https://www.google.com/maps/search/?api=1&query=36.1636903%2C-115.1583205,"https://maps.apple.com/?ll=36.1636903,-115.1583205",https://yandex.com/maps/?ll=-115.1583205%2C36.1636903,active,2,"{""name"":""Las Vegas"",""distanceKm"":2}","[{""code"":""LAS"",""name"":""Harry Reid"",""distanceKm"":9}]",straight-line,2026-09-12,9,,,,,,,,,,,,,,
desert-hills-premium-outlets,Desert Hills Premium Outlets,desert-hills-premium-outlets,"[""Cabazon""]",united-states,palm-springs,"48400 Seminole Drive, Cabazon, CA 92230, United States",33.928778,-116.815491,Mon–Sat 10:00–21:00; Sun 10:00–20:00. Holiday and individual store hours may vary.,,[],153 listed brands,0,0,"[""Customer Service"",""Dining"",""Parking""]",false,https://www.premiumoutlets.com/outlet/desert-hills,https://www.premiumoutlets.com/outlet/desert-hills/map,https://www.google.com/maps/search/?api=1&query=33.928778%2C-116.815491,"https://maps.apple.com/?ll=33.928778,-116.815491",https://yandex.com/maps/?ll=-116.815491%2C33.928778,active,27,"{""name"":""Palm Springs"",""distanceKm"":27}","[{""code"":""PSP"",""name"":""Palm Springs"",""distanceKm"":31},{""code"":""ONT"",""name"":""Ontario"",""distanceKm"":74},{""code"":""LAX"",""name"":""Los Angeles"",""distanceKm"":147}]",straight-line,2026-09-12,31,,,,,,,,,,,,,,
san-francisco-premium-outlets,San Francisco Premium Outlets,san-francisco-premium-outlets,"[""Livermore""]",united-states,san-francisco,"2774 Livermore Outlets Drive, Livermore, CA 94551, United States",37.6989923,-121.8441731,Mon–Sat 10:00–20:00; Sun 10:00–19:00. Holiday and individual store hours may vary.,,[],151 listed brands,0,0,"[""Customer Service"",""Dining"",""Parking""]",false,https://www.premiumoutlets.com/outlet/san-francisco,https://www.premiumoutlets.com/outlet/san-francisco/map,https://www.google.com/maps/search/?api=1&query=37.6989923%2C-121.8441731,"https://maps.apple.com/?ll=37.6989923,-121.8441731",https://yandex.com/maps/?ll=-121.8441731%2C37.6989923,active,51,"{""name"":""San Francisco"",""distanceKm"":51}","[{""code"":""OAK"",""name"":""Oakland"",""distanceKm"":33},{""code"":""SFO"",""name"":""San Francisco"",""distanceKm"":48},{""code"":""SJC"",""name"":""San José Mineta"",""distanceKm"":38}]",straight-line,2026-09-12,33,,,,,,,,,,,,,,
siam-premium-outlets,Siam Premium Outlets Bangkok,siam-premium-outlets,"[""Bang Sao Thong"",""siam-premium-outlet""]",thailand,bangkok,"989 Moo 14, Bang Sao Thong, Samut Prakan 10570, Thailand",13.6946139,100.8312053,Daily 10:00–22:00. Holiday and individual store hours may vary.,,[],108 listed brands,0,0,"[""Customer Service"",""Dining"",""Parking"",""Free Wi-Fi"",""Prayer Room"",""Nursing Room""]",true,https://www.siampremiumoutlets.com/en,https://www.siampremiumoutlets.com/en/map,https://www.google.com/maps/search/?api=1&query=13.6946139%2C100.8312053,"https://maps.apple.com/?ll=13.6946139,100.8312053",https://yandex.com/maps/?ll=100.8312053%2C13.6946139,active,33,"{""name"":""Bangkok"",""distanceKm"":33}","[{""code"":""BKK"",""name"":""Suvarnabhumi"",""distanceKm"":9},{""code"":""DMK"",""name"":""Don Mueang"",""distanceKm"":34}]",straight-line,2026-09-12,9,VAT refunds are available at participating shops; eligibility and customs validation apply.,,,,,,,,,,,,,
rinku-premium-outlets,Rinku Premium Outlets,rinku-premium-outlets,,japan,izumisano,"3-28 Rinku Ourai-Minami, Izumisano, Osaka 598-8508, Japan",34.40672,135.29417,"Shops 10:00 - 20:00; restaurants 11:00 - 21:00; cafe 09:30 - 20:00. Individual store, seasonal and special-date hours may vary.",,[],250 outlet stores,0,0,"[""Information Center"",""Tax-Free Shopping"",""Free Wi-Fi"",""ATM"",""Lockers"",""Prayer Room"",""Nursing Room"",""Stroller Rental"",""Wheelchair Rental"",""Parking""]",true,https://www.premiumoutlets.co.jp/en/rinku/,,"https://www.google.com/maps/search/?api=1&query=34.40672,135.29417","https://maps.apple.com/?ll=34.40672,135.29417&q=Rinku%20Premium%20Outlets","https://yandex.com/maps/?ll=135.29417,34.40672&z=16&text=Rinku%20Premium%20Outlets",active,1,"{""name"":""Rinku Town Station"",""distanceKm"":1}","[{""code"":""KIX"",""name"":""Kansai International Airport"",""distanceKm"":8}]",,,8,,Rinku Premium Outlets,[],"On-site parking is available; capacity, charges and busy-period arrangements should be confirmed before travel.",[],https://www.premiumoutlets.co.jp/en/rinku/,,,,,,,,
gotemba-premium-outlets,Gotemba Premium Outlets,gotemba-premium-outlets,,japan,gotemba,"1312 Fukasawa, Gotemba-shi, Shizuoka 412-0023, Japan",35.3067588,138.9620686,"Mar-Nov 10:00 - 20:00; Dec-Feb 10:00 - 19:00. Closed once yearly; next scheduled closure February 25, 2027. Seasonal and special hours may vary.",,[],290 outlet stores,0,0,"[""Information Center"",""Welcome Center"",""Tax-Free Shopping"",""Free Wi-Fi"",""ATM"",""Currency Exchange"",""Lockers"",""Prayer Room"",""Telephone Interpreting"",""Free Shuttle Bus"",""Taxi"",""Nursing Room"",""Baby Changing"",""First Aid / AED"",""Stroller Rental"",""Wheelchair Rental"",""Barrier-Free Access"",""Delivery Service"",""Parking"",""EV Charging"",""Pet-Friendly Areas"",""Smoking Areas""]",true,https://www.premiumoutlets.co.jp/en/gotemba/,,"https://www.google.com/maps/search/?api=1&query=35.3067588,138.9620686","https://maps.apple.com/?ll=35.3067588,138.9620686&q=Gotemba%20Premium%20Outlets","https://yandex.com/maps/?ll=138.9620686,35.3067588&z=16&text=Gotemba%20Premium%20Outlets",active,3,"{""name"":""JR Gotemba Station"",""distanceKm"":3}","[{""code"":""HND"",""name"":""Haneda Airport"",""distanceKm"":98},{""code"":""NRT"",""name"":""Narita International Airport"",""distanceKm"":165}]",,,98,,Gotemba Premium Outlets,[],All Gotemba Premium Outlets parking areas are free. Overflow/off-site parking may be used on busy days.,[],https://www.premiumoutlets.co.jp/en/gotemba/,,,,,,,,
mitsui-outlet-park-kisarazu,Mitsui Outlet Park Kisarazu,mitsui-outlet-park-kisarazu,,japan,kisarazu,"3-1-1 Kaneda-Higashi, Kisarazu-shi, Chiba 292-0009, Japan",35.43575,139.93551,Shops 10:00 - 20:00; restaurants 11:00 - 21:00; food court 10:30 - 21:00; cafe 09:30 - 21:00. Closed: not fixed. Individual shop and special-date hours may vary.,,[],330 stores,0,0,"[""General Information"",""Tourist Information"",""Tax-Free Counter"",""Free Wi-Fi"",""Foreign Currency Exchange"",""ATM"",""Free Coin Lockers"",""Free Baggage Storage"",""Delivery Service"",""AED"",""Wheelchair Rental"",""Accessible Toilets"",""Stroller Rental"",""Nursing Room"",""Baby Changing"",""Prayer Room"",""Parking"",""Valet Parking"",""EV Charging"",""Smoking Areas"",""Pet-Friendly Facilities""]",true,https://mitsui-shopping-park.com/en/mop/kisarazu/,,"https://www.google.com/maps/search/?api=1&query=35.43575,139.93551","https://maps.apple.com/?ll=35.43575,139.93551&q=Mitsui%20Outlet%20Park%20Kisarazu","https://yandex.com/maps/?ll=139.93551,35.43575&z=16&text=Mitsui%20Outlet%20Park%20Kisarazu",active,6,"{""name"":""JR Kisarazu Station"",""distanceKm"":6}","[{""code"":""HND"",""name"":""Haneda Airport"",""distanceKm"":22},{""code"":""NRT"",""name"":""Narita International Airport"",""distanceKm"":67}]",,,22,,Mitsui Outlet Park Kisarazu,[],"Approximately 6,200 parking spaces. General parking is free and normally available 09:30 - 21:30; paid valet service is also available.",[],https://mitsui-shopping-park.com/en/mop/kisarazu/,,,,,,,,
