guideId,outletId,originType,mode,provider,line,boardingPoint,destination,estimatedDurationMin,estimatedDurationMax,estimatedFareMin,estimatedFareMax,currency,fareAccuracy,sourceNote,officialCheckNote,confidence,officialProviderUrl,operator,alightingPoint,suppressDerivedDurationFallback,transferPoints,displayDuration,walkNote,displayFare,checkedAt,sourceUrls,fareUnit
kansai-airport-to-rinku-premium-outlets-sky-shuttle,rinku-premium-outlets,airport,shuttle,Rinku Premium Outlets / Sky Shuttle,Sky Shuttle,"Kansai Airport Terminal 1, 1F, Bus Stop 12",Rinku Premium Outlets,15,15,300,300,JPY,exact,"Official Rinku Premium Outlets access information publishes the direct Sky Shuttle from Kansai Airport Terminal 1, 1F Bus Stop 12 to Rinku Premium Outlets, approximately 15 minutes, with a JPY 300 adult one-way fare and JPY 150 child fare.",Confirm the current Sky Shuttle timetable before travel.,exact,https://www.premiumoutlets.co.jp/en/rinku/access/access_bus.html,,,,,,,,,,
ibn-battuta-to-the-outlet-village-dpr1-bus,the-outlet-village,station,bus,Dubai RTA,DPR1,Ibn Battuta Metro Station Bus Stop,The Outlet Village,,,,,,,"Dubai Parks and Resorts publishes RTA Bus DPR1 from Ibn Battuta Metro Station to Dubai Parks and Resorts, with departures approximately every 75 minutes. The Outlet Village official information identifies direct bus access from Ibn Battuta.",Confirm the current DPR1 departure and return timetable with Dubai RTA before travel.,partial,https://www.dubaiparksandresorts.com/en/park-informations,Dubai RTA,Dubai Parks and Resorts,true,,,,,,,
shanghai-metro-to-shanghai-village,shanghai-village,station,metro,Shanghai Metro / Shanghai International Resort shuttle,Shanghai Metro Line 11 → Resort Shuttle Bus 1,"Disney Resort Station, Exit 4",Shanghai Village,,,,,,,"The official Shanghai government destination page supports Metro Line 11 to Disney Resort Station, Exit 4, followed by Resort Shuttle Bus 1 to Bicester Village station. It does not publish a shuttle fare, frequency, timetable, or numeric total journey time.",,partial,https://english.shanghai.gov.cn/en-ShoppingCenters/20231207/ce0ae172266e4411a9b7ab6f52d69e45.html,Shanghai Metro / Shanghai International Resort shuttle,Bicester Village station,true,"[""Disney Resort Station, Exit 4""]",,,,,,
central-shanghai-to-shanghai-village-taxi,shanghai-village,cityCenter,taxi,,,Central Shanghai,"Shanghai Village, 88 Shendi East Road",45,45,,,,,The official Shanghai government destination page publishes an approximately 45-minute drive from central Shanghai. Metered or app fare remains variable and no numeric fare is asserted.,,exact,https://english.shanghai.gov.cn/en-ShoppingCenters/20231207/ce0ae172266e4411a9b7ab6f52d69e45.html,,,true,,,,,,,
pvg-to-shanghai-village-taxi,shanghai-village,airport,taxi,,,Shanghai Pudong International Airport (PVG),"Shanghai Village, 88 Shendi East Road",20,20,,,,,The official Shanghai government destination page publishes an approximately 20-minute drive from Shanghai Pudong International Airport. Metered or app fare remains variable and no numeric fare is asserted.,,exact,https://english.shanghai.gov.cn/en-ShoppingCenters/20231207/ce0ae172266e4411a9b7ab6f52d69e45.html,,,true,,,,,,,
jr-gotemba-station-to-gotemba-premium-outlets-shuttle,gotemba-premium-outlets,shuttle,shuttle,Gotemba Premium Outlets,,JR Gotemba Station Otomeguchi Exit,Gotemba Premium Outlets,,,,,,,"Gotemba Premium Outlets publishes the complimentary shuttle between JR Gotemba Station and the outlet. The stored guide provides the approved boarding point, regular departure pattern, travel-time range and return stop guidance.",,exact,https://www.premiumoutlets.co.jp/en/gotemba/access/,,,,,10–20 min,,,,,
al-ghubaiba-to-dubai-outlet-mall-rta-bus-66,dubai-outlet-mall,station,bus,Dubai RTA,"66 toward Faqa, Terminus",Al Ghubaiba Bus Station,Dubai Outlet Mall,,,5,7.5,AED,estimated,"Dubai Outlet Mall's official bus schedule identifies Dubai Outlet Mall 01 near the easternmost entrance and says RTA public buses serve the mall from Al Ghubaiba Station. Current RTA timetable evidence for Bus 66 identifies the Al Ghubaiba Bus Station to Faqa, Terminus direction and includes Dubai Outlet Mall on that route, so Bus 66 is stored as the single primary instead of a multi-route choice. The AED 5–7.50 adult one-way estimate uses one payment product only: anonymous nol Silver Card ordinary e-purse fares for either two adjacent zones or more than two zones under the current RTA zone table. The precise zone count for the stored Al Ghubaiba-to-Dubai Outlet Mall 01 ride could not be conclusively verified from stable official route-zone data, so the Silver Card fare is estimated. Travel to Al Ghubaiba, nol card purchase cost, hotel shuttle, parking, taxi costs and final walking are excluded. Official mall information describes hourly public buses and instructs riders to confirm RTA timings; confirm weekday, Friday, Saturday, Sunday and last return Bus 66 service before shopping.","Confirm Bus 66 from Al Ghubaiba Bus Station toward Faqa, Terminus, Dubai Outlet Mall 01, return trips toward Al Ghubaiba, operating-day coverage, the current timetable and the applicable anonymous nol Silver Card zone fare with Dubai RTA before boarding.",partial,https://dubaioutletmall.com/bus-schedule/,Dubai Bus,Dubai Outlet Mall 01,true,,,The final signed pedestrian access from Dubai Outlet Mall 01 to the mall entrance is free and excluded from the fare.,,,,
prague-centre-to-fashion-arena-metro-shuttle,fashion-arena-prague-outlet,cityCenter,metro,PID,Metro A → Bus 238 toward Fashion Arena Štěrboholy,Můstek,Fashion Arena Prague Outlet,,,46,50,CZK,estimated,"Official PID routing supports Metro A from Můstek to Depo Hostivař and regular paid PID Bus 238, operated by Vega Tour s.r.o., toward and alighting at Fashion Arena Štěrboholy. The 2026 adult 90-minute fare is CZK 46 in the PID Lítačka app or CZK 50 on paper and covers both legs without double-counting; travel to Můstek and final walking are excluded.",Confirm Bus 238 toward Fashion Arena Štěrboholy and the current 90-minute adult PID app or paper fare before boarding.,exact,https://pid.cz/zastavkove-jizdni-rady/?cid=238&type=bus,Dopravní podnik hl. m. Prahy / Vega Tour s.r.o.,Fashion Arena Štěrboholy,true,"[""Depo Hostivař""]",,The final walk from the PID stop is free and excluded.,,,,
zagreb-centre-to-roses-designer-outlet-taxi,ros-designer-outlet,cityCenter,taxi,Licensed Zagreb taxi / private hire,,Ban Jelačić Square,"Roses Designer Outlet, Ulica Vrankovec 1, Sveti Križ Začretje",,,90,100,EUR,estimated,"The official outlet access page supports the approximately 55 km road route from Ban Jelačić Square via A2 Exit 4. Eko Taxi Zagreb's published tariff checked 2026-08-04 is EUR 2.90 start + EUR 1.40/km + EUR 0.22/min: 55 km and 45 minutes calculate to EUR 89.80, rounded up to the EUR 90 minimum. The EUR 100 maximum represents the same 55 km with 60 minutes (EUR 93.10) plus an allowance of up to EUR 6.90 for the A2 toll and calculation rounding. Because Eko requires fares outside the city area to be agreed in advance, this is an estimated tariff reference rather than a fixed quote. Demand, traffic-related time and waiting can increase the agreed or metered fare beyond the displayed range; night, weekend, booking and luggage supplements are not included, and free outlet parking is excluded.","Check the current Eko Taxi Zagreb tariff at https://www.ekotaxi.hr/cities/zagreb, obtain an out-of-city point-to-point quote, and confirm A2 toll treatment before departure.",partial,https://www.ekotaxi.hr/cities/zagreb,,,true,,,,,,,
budapest-kelenfold-to-premier-outlet-bus,premier-outlet-budapest,cityCenter,bus,BKK / MÁV Személyszállítási Zrt.,Metro M4 → regional bus 760 / 762 / 767,Kálvin tér,Premier Outlet Budapest,,,1000,1250,HUF,estimated,"Official BKK products provide a HUF 600 30-minute ticket or HUF 850 90-minute ticket for a transfer-valid city journey from Metro M4 at Kálvin tér to the applicable Budapest section of regional Bus 760, 762 or 767; the HUF 400 metropolitan-area ticket covers only the suburban section beyond the Budapest boundary to Biatorbágy, Premier Outlet. The HUF 1,000–1,250 range combines one applicable BKK time-based product with that suburban ticket without treating a HUF 500 single ticket as transferable or the HUF 400 ticket as the complete bus fare. Applicability and connection time determine the city product, so the full fare remains estimated. Travel to Kálvin tér and final walking are excluded.","Confirm in BKK and MÁV/Volán planners that the selected 760, 762 or 767 accepts the chosen BKK time-based product within Budapest, then buy the separate metropolitan-area ticket for the section outside Budapest.",exact,https://bkk.hu/en/tickets-and-passes/prices/90-minute-ticket/,BKK / MÁV-csoport,"Biatorbágy, Premier Outlet",true,"[""Budapest-Kelenföld""]",About 20 min for the Kelenföld–outlet bus segment,The final walk is free and excluded.,,,,
