transportationId,outletId,transportType,title,duration,cost,tip,status,displayOrder
new-york-to-woodbury-common-bus,woodbury-common-premium-outlets,shuttle,1651 Broadway / W 51st Street (McDonald’s) → Woodbury Common — Bus Plaza 2,Approx. 60–90 min,"from USD 45 (adult, round trip)","Board Woodbury Common shuttle at 1651 Broadway / W 51st Street (McDonald’s); alight at Woodbury Common — Bus Plaza 2. Follow the pedestrian signs to the outlet entrance. Reserve the outbound and return journey in advance; use the pickup details in your booking confirmation. Arrive 15 minutes before departure. The outlet return pickup is Bus Plaza 2. The displayed price is the advertised base ticket; booking fees, taxes and optional extras may increase the total. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,1
fort-lauderdale-to-sawgrass-mills-bus-22,sawgrass-mills,bus,Fort Lauderdale Tri-Rail Station → Sawgrass Mills — West Dining Pavilion / Marshalls,Approx. 45–75 min,"USD 2 (adult, one way)",Board 22 at Fort Lauderdale Tri-Rail Station; alight at Sawgrass Mills — West Dining Pavilion / Marshalls. Follow the pedestrian signs to the outlet entrance. Carry exact cash or use the operator’s accepted pass/payment method; drivers may not give change. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.,active,2
international-drive-to-orlando-vineland-trolley,orlando-vineland-premium-outlets,bus,International Drive / SeaWorld → Orlando Vineland Premium Outlets,Approx. 20–45 min,"USD 2 (adult, one way)",Board Red Line (southbound) at International Drive / SeaWorld; alight at Orlando Vineland Premium Outlets. Follow the pedestrian signs to the outlet entrance. Carry exact cash or use the operator’s accepted pass/payment method; drivers may not give change. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.,active,3
downtown-las-vegas-to-north-premium-outlets-loop,las-vegas-north-premium-outlets,shuttle,Fremont Street Experience / Main Street → Las Vegas North Premium Outlets — S Grand Central Parkway,Approx. 15–35 min,Free,Board Downtown Loop at Fremont Street Experience / Main Street; alight at Las Vegas North Premium Outlets — S Grand Central Parkway. Follow the pedestrian signs to the outlet entrance. This is a circulating downtown shuttle. Check today’s operating hours and the direction of the loop for the return trip. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.,active,4
anaheim-to-desert-hills-premium-outlets-tour,desert-hills-premium-outlets,shuttle,Anaheim hotel pickup (booking confirmation) → Desert Hills Premium Outlets,Approx. 75–90 min,"USD 79 (adult, round trip)","Board Desert Hills shopping tour at Anaheim hotel pickup (booking confirmation); alight at Desert Hills Premium Outlets. Follow the pedestrian signs to the outlet entrance. Reserve the outbound and return journey in advance; use the pickup details in your booking confirmation. Departure is from Anaheim, not Palm Springs. Tours currently run Wednesday and Saturday; pickup is around 08:30–08:45. The full shopping excursion takes about 9 hours. The displayed price is the advertised base ticket; booking fees, taxes and optional extras may increase the total. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,5
dublin-pleasanton-bart-to-san-francisco-premium-outlets,san-francisco-premium-outlets,bus,Dublin/Pleasanton BART Station → San Francisco Premium Outlets / Livermore Outlets Drive,Approx. 15–30 min,"USD 2.5 (adult, one way)",Board 14 at Dublin/Pleasanton BART Station; alight at San Francisco Premium Outlets / Livermore Outlets Drive. Follow the pedestrian signs to the outlet entrance. The quoted fare covers Wheels route 14 only. Travel to Dublin/Pleasanton on BART costs extra; Clipper transfer credit may reduce the bus fare. Wheels’ adult day pass is USD 4. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.,active,6
siam-paragon-to-siam-premium-outlets-shuttle,siam-premium-outlets,shuttle,"Siam Paragon — Gate 1, South Wing, G Floor (Lock Box / Bangkok Bank) → Siam Premium Outlets — 7-Eleven / Entrance A",Approx. 60–90 min,"THB 150 (adult, one way)","Board Siam Paragon shuttle at Siam Paragon — Gate 1, South Wing, G Floor (Lock Box / Bangkok Bank); alight at Siam Premium Outlets — 7-Eleven / Entrance A. Follow the pedestrian signs to the outlet entrance. Reserve the outbound and return journey in advance; use the pickup details in your booking confirmation. Outbound: 10:00 / 14:00; return: 12:00 / 16:00, as checked. Book through LINE @tripcs or +66 80 924 3300 and reconfirm the chosen return. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,7
hkg-to-citygate-outlets-bus,citygate-outlets,bus,Hong Kong Airport — Terminal 1 (Cheong Tat Road) → Tung Chung Station / Citygate Outlets,Approx. 10–20 min,"Approx. HKD 3.7 (adult, one way)","Board S1 at Hong Kong Airport — Terminal 1 (Cheong Tat Road); alight at Tung Chung Station / Citygate Outlets. Follow the pedestrian signs to the outlet entrance. The fare estimate is for S1. S64 is an alternative mentioned by the outlet, with its own fare and timetable; check the operator before choosing it. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,8
central-hong-kong-to-citygate-outlets-mtr,citygate-outlets,metro,Hong Kong Station → Tung Chung Station — Exit C,Approx. 30–40 min,"HKD 24.3–28 (adult, one way)","Board Tung Chung Line at Hong Kong Station; alight at Tung Chung Station — Exit C. Follow the pedestrian signs to the outlet entrance. Adult fare range: HKD 24.30 with Octopus/contactless; HKD 28 for a single journey ticket. Use Tung Chung Line, not Airport Express. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,9
tpe-to-mitsui-outlet-park-linkou-airport-mrt,mitsui-outlet-park-linkou,train,A12 Airport Terminal 1 / A13 Airport Terminal 2 → A9 Linkou Station,Approx. 25–40 min,"TWD 60 (adult, one way)","Board Airport MRT Commuter at A12 Airport Terminal 1 / A13 Airport Terminal 2; alight at A9 Linkou Station. Follow the pedestrian signs to the outlet entrance. Use a Commuter train that stops at A9. Express trains skip A9; if already on an Express, change at A8 to a Commuter train heading to A9. From A9, allow 5–10 minutes to walk to the outlet; follow signs for the correct building. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",active,10
